ex_sample,ex_adapter,ms_sample_name,fastq1,fastq2
S001,Quadruplex001,S007,tmp/downloads/QAGRF25050474_22THKGLT4_NoIndex_L006_R1.fastq.gz,tmp/downloads/QAGRF25050474_22THKGLT4_NoIndex_L006_R2.fastq.gz
S002,Quadruplex002,S008,tmp/downloads/QAGRF25050474_22THKGLT4_NoIndex_L006_R1.fastq.gz,tmp/downloads/QAGRF25050474_22THKGLT4_NoIndex_L006_R2.fastq.gz
S003,Quadruplex003,S009,tmp/downloads/QAGRF25050474_22THKGLT4_NoIndex_L006_R1.fastq.gz,tmp/downloads/QAGRF25050474_22THKGLT4_NoIndex_L006_R2.fastq.gz
S004,Quadruplex004,S010,tmp/downloads/QAGRF25050474_22THKGLT4_NoIndex_L006_R1.fastq.gz,tmp/downloads/QAGRF25050474_22THKGLT4_NoIndex_L006_R2.fastq.gz
S005,Quadruplex005,S011,tmp/downloads/QAGRF25050474_22THKGLT4_NoIndex_L006_R1.fastq.gz,tmp/downloads/QAGRF25050474_22THKGLT4_NoIndex_L006_R2.fastq.gz
S006,Quadruplex006,S012,tmp/downloads/QAGRF25050474_22THKGLT4_NoIndex_L006_R1.fastq.gz,tmp/downloads/QAGRF25050474_22THKGLT4_NoIndex_L006_R2.fastq.gz
